Method Name,Verb,URL,Mandatory params,Headers,Query params,Body
/issues/{id},PUT,/issues/6b04fafc-b7a0-412d-8260-4327ca4d6157,"[""id"", ""X-IDMS-Authorization""]","{
""Authorization"":""Bearer jSNtXzscyMj5JBYV3xXrKrCO6WQx"",
""X-IDMS-Authorization"":""00Dg0000006I0pD!AR4AQN8w2lOeeGBAnm358ia.BEXit0iM7Aa196wRwOuh5Nqrj1Kd2p9.p2re5Brr71cgPtXysBAPgigSdzsFmvJE2gEAH9FD""
}",,"{
""ResolutionDetails"":""bypassed by psp user"",
""ResolvedBy"":""2d47c171-6ebe-4cb2-ab4a-216ed61ffae3"",
""ResolutionCode"":""9313A3"",
""files"":open(""test.jpg"", ""rb"")
}"
/issues/open,GET,/issues/open,"[""X-IDMS-Authorization""]","{
""Authorization"":""Bearer jSNtXzscyMj5JBYV3xXrKrCO6WQx"",
""X-IDMS-Authorization"":""00Dg0000006I0pD!AR4AQN8w2lOeeGBAnm358ia.BEXit0iM7Aa196wRwOuh5Nqrj1Kd2p9.p2re5Brr71cgPtXysBAPgigSdzsFmvJE2gEAH9FD""
}","{""assemblyLocationId"":""0758083e-d3d0-4999-8086-b5e13e365834""}",
/orders,GET,/orders,"[""X-IDMS-Authorization""]","{
""Authorization"":""Bearer jSNtXzscyMj5JBYV3xXrKrCO6WQx"",
""X-IDMS-Authorization"":""00Dg0000006I0pD!AR4AQN8w2lOeeGBAnm358ia.BEXit0iM7Aa196wRwOuh5Nqrj1Kd2p9.p2re5Brr71cgPtXysBAPgigSdzsFmvJE2gEAH9FD""
}","{""assemblylocationid"":""60ececb0-c439-4d56-b966-1424a5f5e6fe""}",
/orders,POST,/orders,"[""X-IDMS-Authorization""]","{
""Authorization"":""Bearer jSNtXzscyMj5JBYV3xXrKrCO6WQx"",
""X-IDMS-Authorization"":""00Dg0000006I0pD!AR4AQN8w2lOeeGBAnm358ia.BEXit0iM7Aa196wRwOuh5Nqrj1Kd2p9.p2re5Brr71cgPtXysBAPgigSdzsFmvJE2gEAH9FD""
}",,"{
  ""endUserAccountName"": ""ABB POWER DISTRIBUTION INC"",
  ""distributorAddress"": {
    ""city"": ""NASHVILLE"",
    ""country"": ""US"",
    ""countryCode"": ""US"",
    ""geocodeAccuracy"": null,
    ""latitude"": null,
    ""longitude"": null,
    ""postalCode"": ""372043623"",
    ""state"": ""TN"",
    ""stateCode"": ""TN"",
    ""street"": ""2944 KRAFT DR""
  },
  ""distributorBillToNumber"": ""41814"",
  ""distributorAccountName"": ""MAYER ELECTRIC SUPPLY COMPANY"",
  ""jobSiteLocation"": ""Nashville, Tennessee"",
  ""proposalName"": ""Test Refresh"",
  ""orderNumber"": ""ErpOrder89"",
  ""quoteNumber"": ""Q-1743727"",
  ""quoteId"": ""1234""
}"
/orders/{order-id},GET,/orders/06ecbb0a-c757-4bd8-9912-597b1b0d1337,"[""order-id"", ""X-IDMS-Authorization""]","{
""Authorization"":""Bearer jSNtXzscyMj5JBYV3xXrKrCO6WQx"",
""X-IDMS-Authorization"":""00Dg0000006I0pD!AR4AQN8w2lOeeGBAnm358ia.BEXit0iM7Aa196wRwOuh5Nqrj1Kd2p9.p2re5Brr71cgPtXysBAPgigSdzsFmvJE2gEAH9FD""
}",,
/orders/{order-id},PATCH,/orders/70b83633-6d07-44f8-bcb2-2047296f9ed0,"[""order-id"", ""X-IDMS-Authorization""]","{
""Authorization"":""Bearer jSNtXzscyMj5JBYV3xXrKrCO6WQx"",
""X-IDMS-Authorization"":""00Dg0000006I0pD!AR4AQN8w2lOeeGBAnm358ia.BEXit0iM7Aa196wRwOuh5Nqrj1Kd2p9.p2re5Brr71cgPtXysBAPgigSdzsFmvJE2gEAH9FD""
}",,"{
  ""shipping_date"": ""9-23-2021""
}"
/orders/{order-id}/photos,POST,/orders/70b83633-6d07-44f8-bcb2-2047296f9ed0/photos,"[""order-id"", ""step"", ""X-IDMS-Authorization""]","{
""Authorization"":""Bearer jSNtXzscyMj5JBYV3xXrKrCO6WQx"",
""X-IDMS-Authorization"":""00Dg0000006I0pD!AR4AQN8w2lOeeGBAnm358ia.BEXit0iM7Aa196wRwOuh5Nqrj1Kd2p9.p2re5Brr71cgPtXysBAPgigSdzsFmvJE2gEAH9FD""
}","{""step"":""cceee84f-5a3e-452e-848c-5bbc58dd97f9""}","{
  ""file"": ""iVBORw0KGgoAAAANSUhEUgAAAUcAAAF9CAYAAACXqKqgAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAZXSURBVHhe7d3ZbVtXFEBRSnUE/g7cSOD/wAUEcgGiCogLiRuwVEDcgRogC5EKkE2JCZBo29bA4Q1rAQTfOQVsXAIPvCd33yxm6ubmZvH+/e+L9Xq93QA8ON1+z44wAj8yyzgKI/Azs4ujMAJPMas4CiPwVLOJozACzzGLOAoj8FyziOPHj38KI/Ask4/jcnm+uLq63E4ATzPpOAoj8FKTjaMwAq8xyTgKI/Bak4ujMAK7MKk4CiOwK5OJozACuzSJOAojsGujj+OnT38JI7Bzo/6z28vLz4uLi+V2Atid0Z4chRHYp1HGURiBfRtdHIUROIRRxVEYgUMZTRyFETikUcRRGIFDG3wchRE4hkG/5/jly9+LDx/OthPA4Qw2jqvV6v7el9vb2+0G4HAG+bNaGIFjG1wchREYgkHFURiBoRhMHIURGJJBxFEYgaE5ehyFERiio8ZRGIGhOlochREYsqPE8ebmZnFxcS6MwGAdPI6bMG5OjOv1ersBGJ6DxlEYgbE4WByFERiTg8RRGIGx2XschREYo73GURiBsdpbHIURGLO9xFEYgbHbSxzPzv4QRmDUdh7H5fJ8cX19vZ0AxmmncdyE8erqcjsBjNfO4iiMwJTsJI7CCEzNq+MojMAUvSqOwghM1YvjKIzAlL0ojsIITN2z4yiMwBw8K46Xl5+FEZiFJ8dxE8aLi+V2Api2J8VRGIG5+WkchRGYox/GURiBufpuHIURmLOMozACc/cojsII8L84CiPAg5O7bzYPq9Vq8e7db/dLgLm7Pzluwri5EAuAB6f/hPH29na7AuDk7dtf74QR4L9OhRHgse++BA4wZ+IIEMQRIIgjQBBHgCCOAEEcAYI4AgRxBAjiCBDEESCII0AQR4AgjgBBHAGCOAIEcQQI4ggQ/r2alel68+aX7RPHcH6+vP8wLk6OAEEcAYI4AgRxBAjiCBDEESCII0AQR4AgjgBBHAGCOAIEcQQI4ggQxBEgiCNAEEeAII4AQRwBgjgCBHEECOIIEMQRIIgjQBBHgCCOAEEcAYI4AgRxBAjiCBDEESCII0AQR4AgjgBBHAGCOAIEcQQI4ggQxBEgiCNAEEeAII4AQRwBgjgCBHEECOIIEMQRIIgjQBBHgCCOAEEcAYI4AgRxBAjiCBDEESCII0AQR4AgjgBBHAGCOAIEcQQI4ggQxBEgiCNAEEeAII4AQRwBgjgCBHEECOIIEMQRIIgjQBBHgCCOAEEcAYI4AgRxBAjiCBDEESCII0AQR4AgjgBBHAGCOAIEcQQI4ggQxBEgiCNAEEeAII4AQRwBgjgCBHEECOIIEMQRIIgjQBBHgCCOAEEcAYI4AgRxBAjiCBDEESCII0AQR4AgjgBBHAGCOAIEcQQI4ggQxBEgiCNAEEeAII4AQRwBgjgCBHEECOIIEMQRIIgjQBBHgCCOAEEcAYI4AgRxBAjiCBDEESCII0AQR4AgjgBBHAGCOAIEcQQI4ggQxBEgiCNAEEeAII4AQRwBgjgCBHEECOIIEMQRIIgjQBBHgCCOAEEcAYI4AgRxBAjiCBDEESCII0AQR4AgjgBBHAGCOAIEcQQI4ggQxBEgiCNAEEeAII4AQRwBgjgCBHEECOIIEMQRIIgjQBBHgCCOAEEcAYI4AgRxBAjiCBDEESCII0AQR4AgjgBBHAGCOAIEcQQI4ggQxBEgiCNAEEeAII4AQRwBgjgCBHEECOIIEMQRIIgjQBBHgCCOAEEcAYI4AgRxBAjiCBDEESCII0AQR4AgjgBBHAGCOAIEcQQI4ggQxBEgiCNAEEeAII4AQRwBgjgCBHEECOIIEMQRIIgjQBBHgCCOAEEcAYI4AgRxBAjiCBDEESCII0AQR4AgjgBBHAGCOAIEcQQI4ggQxBEgiCNAEEeAII4AQRwBgjgCBHEECOIIEMQRIIgjQBBHgCCOAEEcAYI4AgRxBAjiCBDEESCII0AQR4AgjgBBHAGCOAIEcQQI4ggQxBEgiCNAEEeAII4AQRwBgjgCBHEECOIIEMQRIIgjQBBHgCCOAEEcAYI4AgRxBAjiCBDEESCII0AQR4AgjgBBHAGCOAIEcQQI4ggQxBEgiCNAEEeAII4AQRwBgjgCBHEECOIIEMQRIIgjQBBHgCCOAEEcAYI4AgRxBAjiCBDEEeCRxeIrjxBTG96F2hgAAAAASUVORK5CYII=""
}"
/orders/{order-id}/upload-photo,POST,/orders/70b83633-6d07-44f8-bcb2-2047296f9ed0/upload-photo,"[""order-id"", ""step"", ""X-IDMS-Authorization""]","{
""Content-Type"":""multipart/form-data"",
""Authorization"":""Bearer jSNtXzscyMj5JBYV3xXrKrCO6WQx"",
""X-IDMS-Authorization"":""00Dg0000006I0pD!AR4AQN8w2lOeeGBAnm358ia.BEXit0iM7Aa196wRwOuh5Nqrj1Kd2p9.p2re5Brr71cgPtXysBAPgigSdzsFmvJE2gEAH9FD""
}","{""step"":""cceee84f-5a3e-452e-848c-5bbc58dd97f9"",
""files"":open(""test.jpg"", ""rb"")}","{""files"":open(""test.jpg"", ""rb"")}"
/orders/{order-id}/sections/{section-number}/users,POST,/orders/70b83633-6d07-44f8-bcb2-2047296f9ed0/sections/6/users,"[""order-id"", ""section-number"", ""userid"", ""userrole"", ""X-IDMS-Authorization""]","{
""Authorization"":""Bearer jSNtXzscyMj5JBYV3xXrKrCO6WQx"",
""X-IDMS-Authorization"":""00Dg0000006I0pD!AR4AQN8w2lOeeGBAnm358ia.BEXit0iM7Aa196wRwOuh5Nqrj1Kd2p9.p2re5Brr71cgPtXysBAPgigSdzsFmvJE2gEAH9FD""
}","{""userid"":""0acc1003-7a35-4494-9dd0-3b68a39ab9f5""
""userrole"":""Assembler""}",
/orders/{order-id}/sections/{section-serial-number}/complete,POST,/orders/70b83633-6d07-44f8-bcb2-2047296f9ed0/sections/12212840014AJNX/complete,"[""order-id"", ""section-serial-number"", ""X-IDMS-Authorization""]","{
""Authorization"":""Bearer jSNtXzscyMj5JBYV3xXrKrCO6WQx"",
""X-IDMS-Authorization"":""00Dg0000006I0pD!AR4AQN8w2lOeeGBAnm358ia.BEXit0iM7Aa196wRwOuh5Nqrj1Kd2p9.p2re5Brr71cgPtXysBAPgigSdzsFmvJE2gEAH9FD""
}",,
